Hotel,Liked,Disliked,Score
Salena Beach Hotel,The breakfast was nice and it is located close to the beach..,The beds were REALLY uncomfortable. .The front staff were mainly teenagers that clearly had no idea what working in this industry means..Not good value for the money..,4.0
Salena Beach Hotel,Big nice pool.Tasty breakfast.Close to the beach and city Center.Nice big balcoony.,"There is no hotel parking, you will find free space on the street only when you are luck.Ugly bathroom.Not enough tables during breakfast.Loudly.Lot od steps to our room at 3 floor .Closest beach very crowded.",7.0
Salena Beach Hotel,Pool. .Location..,"Nobody cleaned our room for 5 days of our vacation..Breakfast really basic, same everyday, Sausages/scramble eggs always cold - please keep heater on between 8-10..I missed draft beer in restaurant/pool bar..",6.7
Salena Beach Hotel,"Breakfast was very poor, for the 5 days, we had the same low quality products, only instant coffee was available, with horrible taste..","The room was extremely dirty, bathroom was full of mold, curtains were dirty, carpet with stains.  the bed was uncomfortable.",1.0
Salena Beach Hotel,,"Huge disappointment!! .The hotel is very dirty and they didn't even bother cleaning the room properly. .The sheets were not clean and had yellow stains. The bed is very uncomfortable, and the mattress itself looks very old and disgusting. We could literally feel the mattress' spring which gave us an awful back pain. .As if this is not enough, we also found insects on the bed (ants)..Not to mention the bathroom mirror which was super dirty and the toilet lid that doesn't hold..Of course, seeing how the rooms are, we didn't use the pool but the sunbeds by the pool are also very dirty (literally black). .All in all, I do not recommend this hotel at all..",1.0
Salena Beach Hotel,Personal was very kind and friendly. Everything was clean..,Matrasses in our room were old..,9.0
Salena Beach Hotel,The pool was very clean. Location was good. Room was cozy..,Bed was awful. Cleanliness can be better..,9.0
Salena Beach Hotel,The location was good.,"The bed was very uncomfortable, you can feel the springs on your back when you lay down. The shower was very bad because the water was spraying on top of the toilet and there was no way to shower. Also the bathroom was leaking outside and the whole floor outside the bathroom had puddles of water as well as the carpet. There were no windows in the room and there is no way to sleep with the door open so it was very stuffy in the room because of the water which was leaking and the wet carpet. It was definitely not worth the money we paid..",3.0
Salena Beach Hotel,"Great location, friendly staff, worth for the price.",The room smelled on cigarettes and there was an ashtray on the table inside the room..,9.0
Salena Beach Hotel,"It was very nice, clean rooms, great pool, friendly personal & good food, we really enjoyed the staying..I would go anytime again and can really recommend it 😊.",/.,10.0
Salena Beach Hotel,"close to the center and the beaches, good pool.",Rooms were too small.,3.8
Salena Beach Hotel,"Location is good, very clean and the staff was excelent. Breakfast was fabolus, I recomended this place.",,10.0
Salena Beach Hotel,Nice pool and big breakfast ;).,,7.9
Salena Beach Hotel,"We really loved the pool, the food! Complements for the food. Great comfort food! Excellant!.",I would have liked a fridge with freezer..But the staff was very helpful!.,9.0
Salena Beach Hotel,Ok breakfast.Ideal location. Near the beach and the town center,The hotel cleaning left a lot to be desired. Beds with protruded springs and uncomfortable bathroom to shower/was always wet..The staff does not speak English,6.0
Salena Beach Hotel,The hotel is well-located for the beach and staff are friendly.,"For a 4-night stay, our room has not been cleaned once, not even our towels have been changed. It must be indicated somewhere if the service in question is optional or has to be paid extra.",8.0
Salena Beach Hotel,Location,"The little terrace, we asked for two lower pillows and nothing, they didn't give us a specific answer, whether they had it or not.",6.0
Salena Beach Hotel,"Staff one, nice ladies and boys. Tiny maid incredibly hardworking THANK YOU. Still pool amazing.","please change the mattress, I had two rooms and both equally bad .It spoils a good stay at the hotel",8.0
Salena Beach Hotel,,"It took me 30 minutes to pay for my room. I can't pay through the Bulgarian lev card, I can't pay with the dollar card, they made me go to the ATM to withdraw. There's no way this thing's gonna happen, not if they have a terminal post.",6.0
Salena Beach Hotel,Breakfast was good.,"When using the toilet, the lid couldn't stand up and had to hold on with a hand, which is not normal. There was also no extra roll of toilet paper left and  still a few days' stay should be available.",7.0
Salena Beach Hotel,"Great place to relax - easy parking, normal breakfast, very close to the beach and the centre at the same time. We were, personally, satisfied and very pleasantly surprised. The staff was very, very polite and pleasant.","They were a little slow to get out, but they made up for it with their radiant smiles.",6.0
Salena Beach Hotel,"This place is great. The price is great for the conditions. It's close to the beach, it's close to the centre. Clean, quiet and very quiet. The staff were doing a very good job and they were very kind. The pool is great. It's shallow and deeper, part of it. Enough sun loungers and space to stay out of each other's way. We loved it. We'd like to do it again.","Towels and blankets can be provided for the rooms. We had a hard time finding a hair dryer, but we borrowed their staff. There was no shampoo left in the bathrooms.",8.0
Salena Beach Hotel,"Friendly, friendly and smiling staff, clean pool, in-room towels are changed on a daily basis","In the first floor room the shower was almost above the toilet, the shower was not fully mobile, the toilet seat couldn't be opened without holding, the fridge in the room was barely cooled, the room had no window to open",7.0
Salena Beach Hotel,Everything in general was satisfactory.,,7.0
Salena Beach Hotel,"The staff are friendly and smiling, the pool is excellent, it was clean in the room.","The room was very small and didn't match the photos. Bad or missing soundproofing. Uncomfortable box-spring beds. Small baths, not very friendly. On the ground floor, guests are constantly waking up to other hotel guests in the morning. Breakfast is completely one-of-a-kind every day.",6.0
Salena Beach Hotel,The pool is fine but there's no shower.,"The bathroom and toilet are terrible and are located in a one-square-metre room. There was no Internet, no matter how hard we tried to connect, and that was very important to us.",7.1
Salena Beach Hotel,"The location and catering were very good, the staff nice and helpful. The advantage was the hotel pool, which we often used. The location near the center and at the same time within reach of the beach is a great advantage.",,8.8
Salena Beach Hotel,"For such a weaker hotel, good breakfast",Worn out beds,6.7
Salena Beach Hotel,Regeli,They were almost not accepted due to the inexperience of the night receptionist,7.5
Salena Beach Hotel,"Breakfast is good, the layout is very good.","The air conditioner didn't cool well, and the toilet bowl when the water comes on, it's hot and it's uncomfortable.",6.0
Salena Beach Hotel,Breakfast is good.,There's no Wi-Fi at all.,7.9
Salena Beach Hotel,"Very good location, delicious breakfast, nice staff",,8.8
Salena Beach Hotel,The staff is very friendly and helpful.,,8.8
Salena Beach Hotel,"Very good hotel, clean, pleasant, pleasant pool atmosphere, excellent breakfast",,7.5
Salena Beach Hotel,"Breakfast is great, room is clean, mattresses are comfortable. The location is good for visiting Pearl Beach. The staff are Russian-speaking, but super friendly and positive people. The hotel is set in two areas, which include a lovely pool.","The problem was the loud air conditioning of the neighbors in the room, which was obviously some kind of walrus. They didn't turn off the air conditioning for a minute on the weekend. My advice to the owner is very simple-- take note of the details. Some air-conditioning tampons and a decent tech to install them make you perfect!",8.8
Salena Beach Hotel,Good location. Parking available. Construction-like nice hotel. Large rooms. Very cheap.,Not quite fresh from the cleanliness point of view. Breakfast not very fresh either.,7.9
Salena Beach Hotel,"It was all okay. Best part was we were five families on vacation.The children were free and happy.The pool was theen! Thank you, sir.","No WI-FI, no stair lighting, little terraces, no shower in the pool.There's still a lot to be desired, but we had a nice time and we had a rest.Today we are in reality.Thank you again!",8.8
Salena Beach Hotel,"The super large room, more than expected even with an additional Terrace, ideal for an afternoon in coffee or to supplement a long day. Parking, in the middle of vacation season is a difficult issue, the places are few; but for a couple of euros more you can park in a parking lot, a paar of streets further away. Breakfast was enough and pleasant.... The normal Buffet breakfast. The beach is not at the front but only a few minutes walk.",Parking was a problem....,9.0
Salena Beach Hotel,"Location close to the beach. Many restaurants and terraces. Swimming pool OK. Good Wi-Fi, there are access points on each floor. Very attractive cliff, on portraits many portraits painted by a local artist.","Ordinary breakfast, on the last day the bread was moldy. Old, broken furniture with peeled veneer. The shower without curtain or cabin, directly on the wall in the bathroom, wets everything when you use it. The carpet and the stained walls, the stained bed linen, the double bed consisting of two single beds next to each other, through the mattresses you could feel the arches. Tiny balcony, you couldn't put a chair and a tumble dryer at the same time. Parking on a broken street behind the hotel, with insufficient space for all tourists, is a real lottery. The staff speak only Bulgarian, in fact the whole resort is designed only for Bulgarians.",1.0
Salena Beach Hotel,,"What we didn't like was that in five days, not once did they come to clean the room, since I went to complain and had the card cleaned up the room. It was just frustrating, they just put toilet paper on the door handle. A total mockery.",1.0
Salena Beach Hotel,Location and price of stay Outdoor swimming pool of the hotel,Cleanliness in the dining room - repetitive and poor quality breakfast,5.0
Salena Beach Hotel,"The hotel is close to a clean (north) beach and the surrounding area has grocery shops, an amusement park and many good restaurants.","The lady of the recital doesn't explain anything. Not where the room is, not what time breakfast is, and where... you don't ask, they won't tell you. .Staff recommendation: Smile and be nicer.""",5.0
Salena Beach Hotel,"Everything perfect, great satisfaction. We will definitely be back.",,10.0
Salena Beach Hotel,"The location is very good. It's on the main street, but it's quiet.","In seven days, they haven't cleaned the floor of the room once. I was under the impression that the rooms were cleaned after 4:00 when people had already come from the beach. The staff is quite young and still doesn't know how to behave or how to take account. I didn't suddenly witness, and many of the hotel guests, disputes between staff, comments and others.",9.0
Salena Beach Hotel,The large and clean swimming pool deserves a special mention. Cool location - 5 minutes walk from the North Beach. Same for the city center. Possibility to pay by card for the stay. Tasty and quite cheap dinners in the hotel restaurant. We will be back next year.,It is not possible to pay by card in the restaurant.,9.0
Salena Beach Hotel,Location and breakfast.,"The matrix was uncomfortable, the toilet seat wasn't open, the air conditioning from the upper floors was flowing from the top.",4.0
Salena Beach Hotel,Nothing. Nothing.,Too expensive for this environment and this room we were staying in. Too much noise was being made by guests above our room.,1.0
Salena Beach Hotel,"Breakfast included, and the food at the restaurant was good! The location is super close to the north beach and the centre! We were staying in two rooms, one bathroom was moldy, the other room the fridge was not working, the air conditioning was just a little chilly! We once brought in mineral water, which made us realize that in that case we have to take out our own garbage, which is ridiculous!",,5.0
Salena Beach Hotel,Great pool Good location,"Guests staying in salena beach via booking are burdened for the main hotel salena on arrival the price bgn to euros which increased the price In the room unusable mattress, after notifying the hotel manager refused to communicate only after the staff said that others do not have a broken refrigerator",4.0
Salena Beach Hotel,Breakfast was good.It can be varied.,,10.0
Salena Beach Hotel,The location was great.,"The level of purity was beyond criticism. Very much mold in the bathroom. And the architect of the hotel itself to return the money to the investor - the bathroom was small and the shower, sink and toilet bowl were located in one corner and it's almost impossible for a person to use it normally. The toilet seat lid couldn't hold up.",5.0
Salena Beach Hotel,"The smiling staff, the pool and the location of the hotel.","The bed-top room has a rush that waits from all directions the minute you lay down! You turn around and it gets worse! It is not serious to offer such “beds” to guests in the 21st century!.The bathroom - in the room, which is adapted for toilet because it's about 3 square meters - they put a shower headset on the wall, which doesn't make it a bathroom! You literally can't turn inside between the sink and the toilet, which makes the room flood after a shower. .Clean-up is not done at all, a roll of toilet paper is put on and the trash can is thrown out! In the three days we spent there, that was the only thing offered by the staff. I found hair on the extra sheets!.The room we were staying in is on the ground floor and the lack of a window and a door that can be opened slightly was not very comfortable in the summer season!.Provide your visitors with a parking space if possible!.Staff at reception are very friendly and helpful!.Breakfast was delicious!.The location of the hotel is very good!.The pool is nice and spacious, if you wash the poofs and put a little more sun beds in it, it'll be even better!",3.0
Salena Beach Hotel,That the hotel was near the beach.,"Due to a mistake booking the first night was in Salena, not in Salena Beach, where we booked our stay.We were deducted from the cost of a night's stay, but it wasn't pleasant to move the next day again, with Salena not having an elevator and being put on the top floor. The shower in the bathroom was broken, and you can't take a normal shower.The next day, we were placed in Nas Salena Beach's chosen to be better than Salena fresh and new, but the fridge didn't work there after a few reminders and a promise that they'd fix it/change it didn't happen and we didn't have a refrigerator for our stay.Parking is also not available anywhere unless you pay £6 a night in paid parking.I wouldn't do it again. The price is not in line with the services offered.",5.0
Salena Beach Hotel,The location of the hotel is excellent.,"The receptionist didn't speak Bulgarian at the reception. In case of a reserved room for 3 adults, one bed was not loaded, there was no light bulb on one of the lamps, the fridge was not working. I went in to take a shower and the shower was running up and down, the drain was clogged and the room flooded. After a conversation in Russian, we were moved to a new room. We moved and went outside. After we came back, the third bed wasn't loaded, so we had to go to the front desk at 24 hours to get sheets. Her fridge was broken in this room. They promised to change it, but it didn't happen for the rest of our stay. .Breakfast is the same every day. The tables you have to eat are wooden and sticky with dirt. There were days when we had trouble finding a table to sit on or had to wait..Free parking is recorded but is actually parked in the same street under renovation. Saturday and Sunday, there was no room. There were even cars parked in the middle of the street because there was no room..Also, the announced wi-fi is down and almost out..We're never going to visit this hotel again.",1.0
Salena Beach Hotel,Swimming pool.,"No cleaning. We constantly had to talk about clean towels, which we eventually took ourselves, the same toilet paper. No cleaning - we had to put the trash in front of the room so that the cleaning lady would trip over it. An incredible stench from the toilet all the time. The light in the bathroom only shone whenever he wanted. The corners of the bathroom are incredibly dirty.",3.0
Salena Beach Hotel,Baseyna I obsluzhvaneto,"Legate should be relieved in banyata nyama dush cabins, refrigerationtsite not uses and Internet was very weak.",4.0
Salena Beach Hotel,"Clear, close to the beach, helpful staff.",There was a problem with the card payment.,10.0
Salena Beach Hotel,She was rich.,I liked it all.,5.0
Salena Beach Hotel,The girls on the bar and in the kitchen were very nice.,"We had booked for 3 people, but the room was set up for 2. For the third person, there were no bed linen, towels, no toiletries. I went to ask, it was about 10:00 p.m., there was no one at the reception, the girls at the bar listened, apologized and promised to bring her things for three people. About 15 minutes later, all they brought was linen.. The antenna cable, or I don't know what, was coming straight out of the wall to the bed without any kind of a bonnet or any kind of safety. There was no light in the ceiling light, only one night light was on. After we showered in the evening, the water in the bathroom didn't drain until morning.",4.0
Salena Beach Hotel,"Location, pool was clear, staff was off.",Mattress and pillows,9.0
Salena Beach Hotel,"One-way breakfast. Even the common oat nuts were missing - for a healthier meal, not to mention. Good location.","Room cleanliness, change of underwear, food, quality-rations.",5.0
Salena Beach Hotel,The pool and the service were very good. It was near the beach and the dining options. It was also quiet and peaceful around us.,Her matrix and that kitchen doesn't work all the time. 😊,10.0
Salena Beach Hotel,"Staff are super friendly and friendly, and breakfast is excellent. Fresh seasonal fruits are available every morning.  The rooms are clean, and the pool is clean. I highly recommend it!",,10.0
Salena Beach Hotel,There's a lot to be desired.I didn't like it very much.,"The bathroom, breakfast is not what it should be - at least acceptable.",5.0
Salena Beach Hotel,,"So where do I start? You book a bouquet, it doesn't say you're on the ground floor.And then you go and they put you on the ground floor without a terrace, there's two chairs in the room and a table and they tell you this is about in front of the room and the pool to picture it as a terrace. Second, we walk into the room and see what a kinktop to the bathroom looks like.Second one behind the closet, literally, the other occupied.The room was very small, the fridge was working.The bathroom can't reach both hands, any side you want to bump into a wall. Tragedy in general. We're happy with the pool and the kitchen, but that's it. Staff are friendly and friendly, but are not aware of much information regarding the hotel breakfast, internet and so on.",3.0
Salena Beach Hotel,,"A reservation was made for the Salena Beach Hotel, for reasons unknown, my reservation was changed and the property was the other hotel: - Salmon..The receptionist assured us that there was no difference in the hotels and apologized for any inconvenience. .There are many differences: rooms are under all criticization, purity level zero. For 5 days the room has not been cleaned once. For 5 days, bed linen has been changed once. It says there's a doctor - there isn't, but we're charged for one? It says there's a hairdryer in every room, and there isn't. There's no evacuation plan. There's no fire system in the rooms. I didn't get a single receipt after every payment. Apart from the difference in hotels, there is a difference in prices. The higher price was paid for the nicer hotel, and we were staying at the MINERY. Two days without lights in the bathroom, which was also, to put it mildly, terrible. .The most amazing thing... my husband and I witnessed a conversation between the hotel manager (a blonde lady) and future hotel guests. In this conversation, the manager apologized for another ""messy booking"" and that people would not be staying in Salena Beach, but in Salena again. After hanging up the phone, the blonde lady gave strict orders to the receptionist, and I quote: We're going to be in Salena Beach housing foreigners and people with money. If anyone else makes a reservation, we'll move them to Salena, explaining that the conditions are the same. Now we're gonna give these guys a third bed for free so they don't complain. They ask for a doctor, but we don't have one."" .I'm asking what kind of attitude, what kind of service, and what kind of person is ""manager""? .It's a disgusting place.",1.0
Salena Beach Hotel,"The location of the hotel is excellent - 6.7 minutes to North Beach.  The street and the place are quiet. No music from places or people. Pool maintenance is very good. The hosts are trying to be friendly, despite the irregularities in their hotel. Towels are changed daily in the rooms. The air conditioning is cooling well. Breakfast included is varied, but the quality is not particularly high.","Rooms located on the first floor of one building after the pool are in a neglected state. Photos of these rooms are not included in the hotel description! While you're taking a shower, the water from the bathroom flows into the anteroom before the bedroom. We were answered, with an apology and a suggestion of ""soaking in towels and mops""... the toilet cap couldn't stand up. The bathroom was generally not cleaned properly. For 6 nights, the room was not cleaned once! There's mold. These rooms are practically located on the pool, and during the day the music is too loud, although it is reduced between 14 and 16 hours. There are only 2 sockets in the room, which already include the fridge and TV, which is an impossible-to-see painting. The hotel's internet is in its own opinion... on disinfection measures, precautions, etc. The guy who served breakfast wore a helmet. That's it. .The condition of the other rooms may have been better.",3.0
Salena Beach Hotel,All of it.,,10.0
Salena Beach Hotel,"Delicious breakfast, friendly service. Super pool suitable for children",,10.0
Salena Beach Hotel,"Friendly staff, great prices and an amazing pool.",We have nothing to complain about,10.0
Salena Beach Hotel,The metamorphosis was right up my alley.,"I didn't like that I paid for my stay, and when I got to the hotel, the hotel was closed and I still haven't gotten my money back yet.",10.0
Salena Beach Hotel,"Lux, aesthetics, hygiene, location...",There is no such thing.,10.0
Salena Beach Hotel,"Nice location, very beautiful pool and always had plenty of sun loungers, lots of smiling staff and positive emotions! Always clean 😊",We didn't like the mattress because it was two separate and soft.,9.2
Salena Beach Hotel,All 6,Parking's a little hard.,10.0
