Hotel,Liked,Disliked,Score
Hotel Jägerhof,Super price/quality  ratio.,,10.0
Hotel Jägerhof,Clean and comfortable.,,9.0
Hotel Jägerhof,very clean and new.,,10.0
Hotel Jägerhof,"We loved everything! the rooms are designed with a lot of attention to details and style, everything is personalized to match with the hotel theme and symbols. the shower is fantastic, big and hot. the fact that we could order room service and extra pillows, blankets or even chargers (for free) using ONLY the remote control and tv is just genius. moreover, all the room service requests are respected within minutes! free parking is a great plus, the breakfast is delicious and diverse. the staff is very nice and helpful..",,10.0
Hotel Jägerhof,"By far the best hotel I've stayed in Plovdiv and one of the best in Bulgaria. I am not giving 10 very often but this hotel is clearly 10. It is brand new, really made with attention to all details. Staff, parking, Wi-Fi, room, lobby, breakfast - perfect. I didn't have time unfortunately to go to brewery, gym or lobby bar which all look excellent ….next time..",Really nothing. Just one small remark - croissant for the breakfast was not so fresh although the others were very fresh..I would like only if the hotel would have some SPA/massage possibilities so to complete the offer..,10.0
Hotel Jägerhof,"Good location , nice atmosphere and friendly staff. Attached to the Jegerbof Brewery restaurant. ..",Nothing.,10.0
Hotel Jägerhof,"We loved the Jägerhof Hotel.This is one of the best modern hotels we have stayed in and we travel a fair bit. .The staff were all amazing, from reception, to room service, to the restaurant, every single person we came across was helpful, friendly and nothing was ever too much trouble. .The room we stayed in was also lovely, spacious, clean and well appointed. The beds were big and. very comfortable, the shower was great as well. The parking was also very useful. You get a card when you check in which you use to get in and out of the hotel car park which was very convenient. .And finally, the food and the beer were just to die for. Even if you are not staying in this hotel I would greatly recommend you visit their brewery..All in all, we really enjoyed our short stay and would definitely come back the next time we are in Plovdiv..",,10.0
Hotel Jägerhof,"Excellent quality of all facilities, excellent service and kind staff, the best hotel in Plovdiv!.",,10.0
Hotel Jägerhof,"Amazing hotel,the best hotel in Plovdiv, by Far.Spacious rooms, excellent breakfast,the food is high quality and service is perfect.The service here is excellent. All the staff are extremely friendly and pleasant.The employers in the hotel were so nice and friendly. That is so much appreciated. Thank you guys ! The hygiene is on high level everything is clean and tidy.Parking available in front of the hotel. .Thank you & keep up the great work ! My buisness associates and I will certainly keep coming back. Looking forward to my next return..",,10.0
Hotel Jägerhof,The hotel is fully equipped with all types of facilities required for a pleasant stay. The design of the rooms is great and they’re very clean which is something we highly value. The staff was very friendly and professional. We’ll be staying again and will definitely recommend it to others..,,10.0
Hotel Jägerhof,interior design is fascinating.,it’s not the best location.,10.0
Hotel Jägerhof,"A good place to stay, clean rooms and friendly staff. The Beer is great!.","Nothing, I liked everything..",10.0
Hotel Jägerhof,"They even have a pillow menu, I have to try that next time I am in Plovdiv! Amazing place from any perspective. .Must stay there, I will be back soon..",,10.0
Hotel Jägerhof,"Super clean hotel, new and beautiful rooms, extremely friendly staff. Our room was one of the best rooms we ever stayed, I would put it in top 10. Very nice and delicious breakfast, shall not be missed..","There was nothing to dislike about the property. If the location fits anyone, this is the only place to stay. Must give it a try..",10.0
Hotel Jägerhof,"We loved everything. The bed is the most confortable ever tried, the room is nice, the bathroom and shower with right size. We asked for food with room service, the food was delicious and  arrived pretty fast. The Bavarian restaurant downstairs is good and for the customers of the hotel is with 10% discount..",This place would have been perfect with a SPA area.,10.0
Hotel Jägerhof,,.Disliked  · Süper hotel.,10.0
Hotel Jägerhof,Everything is just perfect.,,10.0
Hotel Jägerhof,"Clean, comfort and good food.",,10.0
Hotel Jägerhof,"Nice staff, well designed hotel and rooms, good breakfast, good parking..",,9.0
Hotel Jägerhof,Comfortable room.Delicious food.Very welcome and nice staff.,,10.0
Hotel Jägerhof,"Spacious family room, delicious breakfast, very friendly staff, choice of special pillows ... Everything was great; the only possible improvement would be if the hotel was located in old Plovdiv :)   But seriously, one of my favourite hotels..",,10.0
Hotel Jägerhof,The hotel is way above anything I've stayed around the world. Bravo.,Absolutely nothing.,9.0
Hotel Jägerhof,"Brand new hotel with all amenities, great buffet, spacy rooms..Special kids bathroom set!.Special cushions for our child!.",All was perfect..,10.0
Hotel Jägerhof,"From the TV there is an app and you can order room service from the most famous restaurant and brewery in Plovdiv, which is located just outside the called Jagerhof and it even has 10% discount. Will choose it next time when we visit the city 100% and will recommend to our friends..","Parking is almost full during the weekend, however there are reserved places from the hotel rooms, so not a big deal..",10.0
Hotel Jägerhof,"Clean, comfortable rooms (we had a spacious suite). Possibility to choose various several pillows. Great, helpful staff. Nice breakfast. Adjacent brewery/restaurant is a good option for a pint or two as well as a proper dinner..","If you're looking for accomodation in the Old town, this is not the place for you..",10.0
Hotel Jägerhof,Food menu for room service and breakfast buffet was amazing 👏😋👌🙌.,It was so friendly and comfortable plce🤩🤩.,10.0
Hotel Jägerhof,Good design and craftsmanship. Friendly staff. Excellent food. Great lobby bar. Excellent parking (free)..,,10.0
Hotel Jägerhof,Clean ultra mega design.,Everything was perfect.,10.0
Hotel Jägerhof,One of the most stylish and well furnished hotels in Bulgaria! If not the most!.,Bat staff and night receptionist were very inexperienced..,10.0
Hotel Jägerhof,"Great room with nice view, super breakfast, very clean, fast wi-fi...",Reception attitude. They called me at 13:30 on check out day and they charged me extra without to mention anything. I noticed that in the bill and they explained to me when I raised a question..Parking barrier issues..Far away from the city center..,9.0
Hotel Jägerhof,Everything else.,There is no balcony and the window in the room does not open much..Not vaping friendly..The TV has very few channels..,9.0
Hotel Jägerhof,The location - next to Jegehoff restaurant and on a big boulevard with easy access to the city center (~10' without traffic)..,"A bit pricy for Plovdiv, having in mind that it is in a leaving quarters..",10.0
Hotel Jägerhof,"New hotel, complex with a restaurant the highest level.",Nothing.,10.0
Hotel Jägerhof,"5* room with really nice decoration, clean and with nice view. Lovely gym and great breakfast...","Problematic parking barrier..I oversleeped on my last day and receptionist called me at 13:42 (expected ckeck out at 12:00), to ask me if I'll extend my staying. I had my check out at 14:00 and on receipt I saw an extra charge, for delay check out, something that she avoid to mention to me initially but only after I asked her. That wasn't very nice...",9.0
Hotel Jägerhof,"secure parking, helpful staff. surely, would have been more fun without the covid, but lets say next time!.",,9.0
Hotel Jägerhof,"Excellent hotel, everything at the highest standards.",Breakfast could be imptoved.,10.0
Hotel Jägerhof,everything was superb.,3+ km away from the center.,10.0
Hotel Jägerhof,"It’s definitely one of the best hotels I’ve stayed in. The apartment is big enough for family with one kid. Very thoughtful interior, helpful staff and delicious breakfast. The lobby bar offers Jägerhof draft beer! I will definitely come again if I have work in Plovdiv some time in the future..",,10.0
Hotel Jägerhof,The hotel is absolutely amazing. The staff was super friendly and helpful and the food was extremely delicious! I think this is the best hotel to stay in Plovdiv!.,,10.0
Hotel Jägerhof,"The staff was extremely polite, the place was very clean, modern and comfortable. I recommend it!.",It’s more like a business hotel and it’s missing spa area..,10.0
Hotel Jägerhof,"This hotel is bright new, opened 3 months ago, and it's visible. Very impressive, big rooms with first class design, elevators and more. Secure parking lot. And the staff, ooo-oo, young people, kind and cool! My rating is excellent!.","The location is far-away from the center of the city, but itsn problem, because the taxi tariff is approximately 5-6 BGN to the old town..",10.0
