,Unnamed: 0,Unnamed: 0.1,Hotel,Liked,Disliked,Score,Combined comment
0,0,0,Festa Panorama Hotel,The food was amazing and variant!.,Everything was perfect!.,10.0,The food was amazing and variant!. Everything was perfect!.
1,1,1,Festa Panorama Hotel,"The rooms are very nice. .Close to the beach, walking distance to old town..The staff is very nice. The pool is nice..The food is decent. Not great, but you have some variety..",The drinks are not great..The food could be better..The parking isn't great..,9.0,"The rooms are very nice. .Close to the beach, walking distance to old town..The staff is very nice. The pool is nice..The food is decent. Not great, but you have some variety.. The drinks are not great..The food could be better..The parking isn't great.."
2,2,2,Festa Panorama Hotel,Animation team was the best! A lot of group activities with great and funny animation team..,"The food was good, but not so diversified..",9.0,"Animation team was the best! A lot of group activities with great and funny animation team.. The food was good, but not so diversified.."
3,3,3,Festa Panorama Hotel,We liked almost everthing about this hotel. the view was sectacular..,We were disappointed that the curtains were so thin and light that that we were woken early every morning..,8.0,We liked almost everthing about this hotel. the view was sectacular.. We were disappointed that the curtains were so thin and light that that we were woken early every morning..
4,4,4,Festa Panorama Hotel,"Nice personal, food is in a very good level. Cleaning is good, room is very wide.",,9.0,"Nice personal, food is in a very good level. Cleaning is good, room is very wide. "
5,5,5,Festa Panorama Hotel,"I liked the location, the cleanliness and the attitude of the staff..",,9.0,"I liked the location, the cleanliness and the attitude of the staff.. "
6,7,7,Festa Panorama Hotel,Excellent staff ! Very clean . Specious rooms. Good breakfast..,Limited parking spots and parking is really small . Rooms with city view are noisy ..,9.0,Excellent staff ! Very clean . Specious rooms. Good breakfast.. Limited parking spots and parking is really small . Rooms with city view are noisy ..
7,9,9,Festa Panorama Hotel,"Superb outdoor pool. Cleanest outdoor pool water I've ever seen - no red eyes, itching or any feeling of chemicals. Even the seagulls drank form it in the evening - that's nature approving the quality of the water! The outdoor pool was very well organized - 3 big sections for Children (60cm depth), Playing (120cm depth), Swimming (150cm depth). The pool bar had free ice cream for the all-inclusive program - nice surprise for the kids. There were enough sun beds for everyone, even on busy days. After 15:00 PM there are shady areas in all 3 sections of the pool. As a bonus - it had great panoramic view of the sea and the bay. .There was a mini-club (children place with all sorts of toys) and even a child disco in the evening. The disco was highly engaging for children and required a lot of jumping and moving around - great for tiring them between dinner and bed time. Animators were super cool and even helped us organize a birthday party for our older child (turning 3). They allowed us to bring in a cake and sang a happy birthday song for us at the start of the child disco..The food in the all-inclusive program was plenty, various and delicious. Even the pool bar had free ice cream - nice surprise. The beer was good and also free. .The children (1y and 3y) stayed for free. We had extra bed and a crib provided in the room (requested during booking). .Room was clean and big enough for 2 adults with 2 children. Beds were comfortable. Bathroom was spacious. Towels were clean, no signs of wear & tear. .We had everything needed, absolutely no reason to go outside the hotel..","Parking was a nightmare! At the moment of our stay it was not possible to book a parking spot at the hotel's parking. .What is worse - the personnel at the reception had no idea where else we could park and what are parking rules in the town of Nessebar in general. There were some parking spots in a small alley, right outside the fence of the hotel, but when asked about parking there - nobody at the hotel seemed to know, even at the reception. We had to ask random people walking around until we find a local, who explained the numbered parking spaces are payed and reserved for locals living nearby. Some of those numbered parking spaces indeed had ""Reserved in local government"" signs - seemed legit to be applicable for all the numbered ones. It was OK to park on a non-numbered space, but literally all of those were already taken. We were told about a nearby parking place organized by the local government, at around 500m away from the hotel, but kept it as a last resort option (with 2 toddlers, there were a lot of bags to carry)..While waiting at the parking gate, we tried reaching the hotel trough phone, but had no luck. When searched in Google, the phone number lead to a dead end - some corporate HQ in another city and nobody even picked it up first 5 attempts. .Practically, nobody at the hotel had any idea about parking alternatives nearby. The simple question of ""where do we leave the car?"" required 30 mins of waiting at the parking gate, circling around in the alleys, talking with random strangers, several trips back and forth to the reception and pure luck at the end. We've settled on ""unloading the bags at the front door then parking somewhere else"" and while unloading someone departed and left a free parking space for us..",9.0,"Superb outdoor pool. Cleanest outdoor pool water I've ever seen - no red eyes, itching or any feeling of chemicals. Even the seagulls drank form it in the evening - that's nature approving the quality of the water! The outdoor pool was very well organized - 3 big sections for Children (60cm depth), Playing (120cm depth), Swimming (150cm depth). The pool bar had free ice cream for the all-inclusive program - nice surprise for the kids. There were enough sun beds for everyone, even on busy days. After 15:00 PM there are shady areas in all 3 sections of the pool. As a bonus - it had great panoramic view of the sea and the bay. .There was a mini-club (children place with all sorts of toys) and even a child disco in the evening. The disco was highly engaging for children and required a lot of jumping and moving around - great for tiring them between dinner and bed time. Animators were super cool and even helped us organize a birthday party for our older child (turning 3). They allowed us to bring in a cake and sang a happy birthday song for us at the start of the child disco..The food in the all-inclusive program was plenty, various and delicious. Even the pool bar had free ice cream - nice surprise. The beer was good and also free. .The children (1y and 3y) stayed for free. We had extra bed and a crib provided in the room (requested during booking). .Room was clean and big enough for 2 adults with 2 children. Beds were comfortable. Bathroom was spacious. Towels were clean, no signs of wear & tear. .We had everything needed, absolutely no reason to go outside the hotel.. Parking was a nightmare! At the moment of our stay it was not possible to book a parking spot at the hotel's parking. .What is worse - the personnel at the reception had no idea where else we could park and what are parking rules in the town of Nessebar in general. There were some parking spots in a small alley, right outside the fence of the hotel, but when asked about parking there - nobody at the hotel seemed to know, even at the reception. We had to ask random people walking around until we find a local, who explained the numbered parking spaces are payed and reserved for locals living nearby. Some of those numbered parking spaces indeed had ""Reserved in local government"" signs - seemed legit to be applicable for all the numbered ones. It was OK to park on a non-numbered space, but literally all of those were already taken. We were told about a nearby parking place organized by the local government, at around 500m away from the hotel, but kept it as a last resort option (with 2 toddlers, there were a lot of bags to carry)..While waiting at the parking gate, we tried reaching the hotel trough phone, but had no luck. When searched in Google, the phone number lead to a dead end - some corporate HQ in another city and nobody even picked it up first 5 attempts. .Practically, nobody at the hotel had any idea about parking alternatives nearby. The simple question of ""where do we leave the car?"" required 30 mins of waiting at the parking gate, circling around in the alleys, talking with random strangers, several trips back and forth to the reception and pure luck at the end. We've settled on ""unloading the bags at the front door then parking somewhere else"" and while unloading someone departed and left a free parking space for us.."
8,10,10,Festa Panorama Hotel,The view is the main attractive point for the location. I have been also a year ago and returning for peaceful time and visiting old nessebar town..,"I have booked a single room with all inclusive and the price was the same like double room all inclusive two person, which my friends payed. I didn't expected half price but at least a small difference since I was only one person and not eating for two :).",7.0,"The view is the main attractive point for the location. I have been also a year ago and returning for peaceful time and visiting old nessebar town.. I have booked a single room with all inclusive and the price was the same like double room all inclusive two person, which my friends payed. I didn't expected half price but at least a small difference since I was only one person and not eating for two :)."
9,11,11,Festa Panorama Hotel,Big clean rooms but the furniture was dusty.,"Food was ok. Not 4*, but not terrible.",8.0,"Big clean rooms but the furniture was dusty. Food was ok. Not 4*, but not terrible."
10,12,12,Festa Panorama Hotel,"Good location. Nice pool. Great for families. In walking distance to Nesebar, which was great..","Food was ok, but was always similar, which after a few days became boring. Also, there was this silly rule that you were not allowed to bring the towels from your room but had to pay a deposit for the pool towels. Finally, there was a lot of plastic waste, which could be eliminated by using plastic glasses that could be reused..",8.0,"Good location. Nice pool. Great for families. In walking distance to Nesebar, which was great.. Food was ok, but was always similar, which after a few days became boring. Also, there was this silly rule that you were not allowed to bring the towels from your room but had to pay a deposit for the pool towels. Finally, there was a lot of plastic waste, which could be eliminated by using plastic glasses that could be reused.."
11,13,13,Festa Panorama Hotel,"In the first day we have received a bottle of wine and some fruits as a welcome gift, which was very nice. Also we were upgraded to a room with sea view. The pool area is great and the animation program was very entertaining :).","The breakfast was ok, but more vegan options would be better. I would have liked to use the gym from the hotel in the morning, but it was opening at 9 a.m..",9.0,"In the first day we have received a bottle of wine and some fruits as a welcome gift, which was very nice. Also we were upgraded to a room with sea view. The pool area is great and the animation program was very entertaining :). The breakfast was ok, but more vegan options would be better. I would have liked to use the gym from the hotel in the morning, but it was opening at 9 a.m.."
12,14,14,Festa Panorama Hotel,"We stayed for 5 nights in the double room with sea view. .- Very good location, in the south of Sunny Beach (1 minute walk) and also a 15-20 minute walk from Nessebar's old center. .- View from the balcony was nice, you could see the entire gulf. Hotel is generally quiet. .- Staff was helpful, we asked for a room on the upper floors and they changed it for us, provided restaurants recommendations, etc..","- Generally clean hotel but we have found a bug in the bathroom, probably coming from the sewage. They changed the sheets and face towels but not the large bath towels. .- Breakfast was average.- Not very rigurous with the COVID-19 precautions, staff is wearing the mask under the nose or chin, guest are allowed to touch food at the buffet without wearing gloves..",8.0,"We stayed for 5 nights in the double room with sea view. .- Very good location, in the south of Sunny Beach (1 minute walk) and also a 15-20 minute walk from Nessebar's old center. .- View from the balcony was nice, you could see the entire gulf. Hotel is generally quiet. .- Staff was helpful, we asked for a room on the upper floors and they changed it for us, provided restaurants recommendations, etc.. - Generally clean hotel but we have found a bug in the bathroom, probably coming from the sewage. They changed the sheets and face towels but not the large bath towels. .- Breakfast was average.- Not very rigurous with the COVID-19 precautions, staff is wearing the mask under the nose or chin, guest are allowed to touch food at the buffet without wearing gloves.."
13,16,16,Festa Panorama Hotel,"Hotel location is great - walking distance from the beaches in Sunny Beach, the tourist train stops by the hotel and takes you to the Old Town in Nesebar. There is really nice view of the sea from the balcony. The room is spacious, so is the bed. Staff is friendly..","Some of the food for breakfast was not of good quality. For example there was no real butter, but some imitating product. The key for the room was sticky and unpleasant to touch. We didn't like the noisy program by the pool that was meant to entertain guests. Though, foreigners seemed to enjoy it..",8.0,"Hotel location is great - walking distance from the beaches in Sunny Beach, the tourist train stops by the hotel and takes you to the Old Town in Nesebar. There is really nice view of the sea from the balcony. The room is spacious, so is the bed. Staff is friendly.. Some of the food for breakfast was not of good quality. For example there was no real butter, but some imitating product. The key for the room was sticky and unpleasant to touch. We didn't like the noisy program by the pool that was meant to entertain guests. Though, foreigners seemed to enjoy it.."
14,17,17,Festa Panorama Hotel,"A beautiful hotel with an amazing sea view, very nice pool and friendly staff. The room was big and cleaned and we enjoyed very much the animation program. Very appropriate for a family with kids. Fresh pancake every morning and very tasty coffee. .Very close to the shopping area. Not too far from the Old Nessebar (around 2.5 km). You can have a very nice walk along the shore on the promenade street. In front of the hotel there is a bus station and you can take bus no 8 or 5 and visit Sunny Beach, Sveti Vlas and Elenite (less than 2 leva for one way)..","Boring breakfast, same food every day. .The food was plenty enough, we had no problems, but pretty lousy for a 4 stars hotel. Some of those things from breakfast, for example, were ""transformed"" in something else at lunch..",9.0,"A beautiful hotel with an amazing sea view, very nice pool and friendly staff. The room was big and cleaned and we enjoyed very much the animation program. Very appropriate for a family with kids. Fresh pancake every morning and very tasty coffee. .Very close to the shopping area. Not too far from the Old Nessebar (around 2.5 km). You can have a very nice walk along the shore on the promenade street. In front of the hotel there is a bus station and you can take bus no 8 or 5 and visit Sunny Beach, Sveti Vlas and Elenite (less than 2 leva for one way).. Boring breakfast, same food every day. .The food was plenty enough, we had no problems, but pretty lousy for a 4 stars hotel. Some of those things from breakfast, for example, were ""transformed"" in something else at lunch.."
15,19,19,Festa Panorama Hotel,The hotel was very clean well organized and tidy. Staff smile all the time feel very comfortable. The animation team and pool was great enough space for all people even in COVID. All measures were followed.,The food was very similar every day the quality was also not as good as expected to be in 5 star hotel it is not very pleasent to have the similar breakfast each day. Kitchen staff might be more creative.,8.0,The hotel was very clean well organized and tidy. Staff smile all the time feel very comfortable. The animation team and pool was great enough space for all people even in COVID. All measures were followed. The food was very similar every day the quality was also not as good as expected to be in 5 star hotel it is not very pleasent to have the similar breakfast each day. Kitchen staff might be more creative.
