,Unnamed: 0,Hotel,Liked,Disliked,Score,Combined comment
0,0,Sofia Palace Hotel by HMG,Great place situated in the heart of Sofia.,,10.0,Great place situated in the heart of Sofia. 
1,1,Sofia Palace Hotel by HMG,"Spacious room, nice bathroom, very clean. .A good range of English-speaking TV channels, which is unusual in Bulgaria..The location was only 5 minutes from Vitosha Bvd, 10 minutes from Serdika Metro so very central, and little more than 15 minutes to the Alexander Nevsky Cathedral..Lots of restaurants nearby, including a traditional Mehana just across the street..I'd stay there again..",I'd have liked another light by the dressing table/work desk..,9.0,"Spacious room, nice bathroom, very clean. .A good range of English-speaking TV channels, which is unusual in Bulgaria..The location was only 5 minutes from Vitosha Bvd, 10 minutes from Serdika Metro so very central, and little more than 15 minutes to the Alexander Nevsky Cathedral..Lots of restaurants nearby, including a traditional Mehana just across the street..I'd stay there again.. I'd have liked another light by the dressing table/work desk.."
2,2,Sofia Palace Hotel by HMG,Comfy beds and great location.,Breakfast and the breakfast room.,7.0,Comfy beds and great location. Breakfast and the breakfast room.
3,3,Sofia Palace Hotel by HMG,The cleanness..,There was no ensuite bathroom like it showed in the pictures..,9.0,The cleanness.. There was no ensuite bathroom like it showed in the pictures..
4,4,Sofia Palace Hotel by HMG,location.,,8.0,location. 
5,5,Sofia Palace Hotel by HMG,Rooms fine.,Boring location the room we saw on booking.com was not that its totally smaller then that The really bad thing they did with us they putted some drinks and snacks in that room and they didnt told us when with checked in that we will charge u at the end for that but when we checked out they gave us a 120 leva bill and we shocked as we already paid online for the booking basically they trick u to make money like this and that's not a fair you should tell the guests whatever we putted in the room we will charge u for that we thought its including what we paid but at the end they make money like that breakfast was totally bad and cold.,7.0,Rooms fine. Boring location the room we saw on booking.com was not that its totally smaller then that The really bad thing they did with us they putted some drinks and snacks in that room and they didnt told us when with checked in that we will charge u at the end for that but when we checked out they gave us a 120 leva bill and we shocked as we already paid online for the booking basically they trick u to make money like this and that's not a fair you should tell the guests whatever we putted in the room we will charge u for that we thought its including what we paid but at the end they make money like that breakfast was totally bad and cold.
6,6,Sofia Palace Hotel by HMG,Hotel amenities and staff were good. Absolutely pleased with the parking spot. Breakfast was good..,The bed sheets were torn apart..,7.0,Hotel amenities and staff were good. Absolutely pleased with the parking spot. Breakfast was good.. The bed sheets were torn apart..
7,7,Sofia Palace Hotel by HMG,"nice room, nice installations, good staff.",nothing.,8.0,"nice room, nice installations, good staff. nothing."
8,8,Sofia Palace Hotel by HMG,"location is perfect, and the hotel is overall perfect for a night or two, the breakfast is beyond expectations.",,8.0,"location is perfect, and the hotel is overall perfect for a night or two, the breakfast is beyond expectations. "
9,9,Sofia Palace Hotel by HMG,"The location, very close to Vitosha street, and the staff was very nice..The room was ok, clean and nice, just like in the picture but deffinitely overpriced..","I expected more for that price. The breakfast was poor with limited choice. Every time we had to enter and exit the parking (a bad looking underground garage), we had to call someone from the reception to open the garage door..",7.0,"The location, very close to Vitosha street, and the staff was very nice..The room was ok, clean and nice, just like in the picture but deffinitely overpriced.. I expected more for that price. The breakfast was poor with limited choice. Every time we had to enter and exit the parking (a bad looking underground garage), we had to call someone from the reception to open the garage door.."
