,Unnamed: 0,Hotel,Liked,Disliked,Score,Combined comment
0,0,Апартамент Трапезица,,".“The apartment is spacious, clean, with new furniture and equipped with everything you need to feel at home. You can park your car in the courtyard of the apartment complex, free of charge. You can walk to the city center in a short walk of 20 minutes. It was important for us to be accepted with our puppy. The owner is very kind.”.",10.0," .“The apartment is spacious, clean, with new furniture and equipped with everything you need to feel at home. You can park your car in the courtyard of the apartment complex, free of charge. You can walk to the city center in a short walk of 20 minutes. It was important for us to be accepted with our puppy. The owner is very kind.”."
1,1,Апартамент Трапезица,,.“Clean and comfortable apartment. Located in a newly built apartment building. Nearby there is a grocery store and a bank. The host was very kind and gave us useful information about the places where we can dine and the events that take place in the city.”.,10.0, .“Clean and comfortable apartment. Located in a newly built apartment building. Nearby there is a grocery store and a bank. The host was very kind and gave us useful information about the places where we can dine and the events that take place in the city.”.
2,2,Апартамент Трапезица,,".“A new apartment. Very well maintained and equipped. Super market and bakery 1 min walk away, restaurants 5-10 minutes walk. City center/ old town +/-20-25 min walk. A very nice park very close by. Nickola is a great host, attentive, communicative, very responsive and helpful. For us it was a perfect apartment :)”.",10.0," .“A new apartment. Very well maintained and equipped. Super market and bakery 1 min walk away, restaurants 5-10 minutes walk. City center/ old town +/-20-25 min walk. A very nice park very close by. Nickola is a great host, attentive, communicative, very responsive and helpful. For us it was a perfect apartment :)”."
3,3,Апартамент Трапезица,,".“great location, host was very helpful and friendly. willing to accommodate us and to work around our arrival/departure times.”.",9.0," .“great location, host was very helpful and friendly. willing to accommodate us and to work around our arrival/departure times.”."
4,4,Апартамент Трапезица,,.“The apartment is new. We found there everything we needed (2 families: 4 adults and 3 kids). Great location with a very nice park near by. The host is very nice and speaks English very well. I recommend it.”.,10.0, .“The apartment is new. We found there everything we needed (2 families: 4 adults and 3 kids). Great location with a very nice park near by. The host is very nice and speaks English very well. I recommend it.”.
5,5,Апартамент Трапезица,,.“Apartamentul este situat intr-un complex moder. Este un apartament foarte mare cu tot ce iti trebuie. Ideal pentru una sau doua familii.”“The apartment is located in a moderate complex. It is a very large apartment with everything you need. Ideal for one or two families.”.,10.0, .“Apartamentul este situat intr-un complex moder. Este un apartament foarte mare cu tot ce iti trebuie. Ideal pentru una sau doua familii.”“The apartment is located in a moderate complex. It is a very large apartment with everything you need. Ideal for one or two families.”.
6,6,Апартамент Трапезица,,".“Изключително комфортен апартамент, с всички удобства. Много стилно обзаведен с нюанс към малките детайли и цветово съчетание на интериора. Домакинът беше много отзивчив и дори се настанихме по-рано от заявения час. Престоят ни беше чудесен.”“Very comfortable apartment, with all amenities. Very tastefully decorated with a touch of small details and a colour scheme of the interior. The host was very cooperative and we even checked in earlier than the requested time. We had a great time.”.",7.0," .“Изключително комфортен апартамент, с всички удобства. Много стилно обзаведен с нюанс към малките детайли и цветово съчетание на интериора. Домакинът беше много отзивчив и дори се настанихме по-рано от заявения час. Престоят ни беше чудесен.”“Very comfortable apartment, with all amenities. Very tastefully decorated with a touch of small details and a colour scheme of the interior. The host was very cooperative and we even checked in earlier than the requested time. We had a great time.”."
7,7,Апартамент Трапезица,,".“Апартамента е много чист и удобен. В близост има всичко необходимо. Добре оборудван е, съдомиялната върши чудесна работа. Освен това е газифициран, нов е, и е отлично поддържан. Силно препоръчвам 😊”“The apartment is very clean and comfortable. All the necessary amenities are nearby. It's well-equipped, the dishwasher does a great job. It's also gasified, new, and well-maintained. I strongly recommend 😊”.",9.0," .“Апартамента е много чист и удобен. В близост има всичко необходимо. Добре оборудван е, съдомиялната върши чудесна работа. Освен това е газифициран, нов е, и е отлично поддържан. Силно препоръчвам 😊”“The apartment is very clean and comfortable. All the necessary amenities are nearby. It's well-equipped, the dishwasher does a great job. It's also gasified, new, and well-maintained. I strongly recommend 😊”."
8,8,Апартамент Трапезица,"A new apartment. Very well maintained and equipped. Super market and bakery 1 min walk away, restaurants 5-10 minutes walk. City center/ old town +/-20-25 min walk. A very nice park very close by. Nickola is a great host, attentive, communicative, very responsive and helpful. For us it was a perfect apartment :).",,10.0,"A new apartment. Very well maintained and equipped. Super market and bakery 1 min walk away, restaurants 5-10 minutes walk. City center/ old town +/-20-25 min walk. A very nice park very close by. Nickola is a great host, attentive, communicative, very responsive and helpful. For us it was a perfect apartment :). "
9,9,Апартамент Трапезица,"The apartment is spacious, clean, with new furniture and equipped with everything you need to feel at home. You can park your car in the courtyard of the apartment complex, free of charge. You can walk to the city center in a short walk of 20 minutes. It was important for us to be accepted with our puppy. The owner is very kind..",,10.0,"The apartment is spacious, clean, with new furniture and equipped with everything you need to feel at home. You can park your car in the courtyard of the apartment complex, free of charge. You can walk to the city center in a short walk of 20 minutes. It was important for us to be accepted with our puppy. The owner is very kind.. "
