,Unnamed: 0,Hotel,Liked,Disliked,Score,Combined comment
0,0,Hotel Anna-Kristina,This is a absolutely charming historic public bath from the Ottoman era converted into a comfortable hotel right by the Danube river a short walk from the Fort and surrounded by a park.  It has parking.  We had one of the apartments which was very spacious and comfortable and nearly everything worked. It was exceptionally quiet. Staying there was a very good experience..,We were initially sent to a smaller hotel room which was not what we had booked but eventually we were transferred to the one that we had.  The reception was initially quite indifferent and abrupt but we managed to build up a better rapport by the time we left. The bath plug needs fixing as it could not be unplugged..,10.0,This is a absolutely charming historic public bath from the Ottoman era converted into a comfortable hotel right by the Danube river a short walk from the Fort and surrounded by a park.  It has parking.  We had one of the apartments which was very spacious and comfortable and nearly everything worked. It was exceptionally quiet. Staying there was a very good experience.. We were initially sent to a smaller hotel room which was not what we had booked but eventually we were transferred to the one that we had.  The reception was initially quite indifferent and abrupt but we managed to build up a better rapport by the time we left. The bath plug needs fixing as it could not be unplugged..
1,1,Hotel Anna-Kristina,"Very good breakfast, excellent location, in the park, close to the Danube. The decor in the whole hotel is very nice..The problem in the bathrooms can be avoided by very short showers..Very good parking..","I'm sorry I couldn't give a maximum score for the staff. All the staff I interacted with behaved exceptionally, except for one young man at the reception, who was rude and incompetent. He seems to work especially at night, he should be avoided if possible..In terms of cleanliness, I'm not sure that the bedding has been changed, especially the ones that cover the blankets..",8.0,"Very good breakfast, excellent location, in the park, close to the Danube. The decor in the whole hotel is very nice..The problem in the bathrooms can be avoided by very short showers..Very good parking.. I'm sorry I couldn't give a maximum score for the staff. All the staff I interacted with behaved exceptionally, except for one young man at the reception, who was rude and incompetent. He seems to work especially at night, he should be avoided if possible..In terms of cleanliness, I'm not sure that the bedding has been changed, especially the ones that cover the blankets.."
2,2,Hotel Anna-Kristina,The personel was very friendly.,They did not wear mask.,9.0,The personel was very friendly. They did not wear mask.
3,3,Hotel Anna-Kristina,"Clean rooms, friedly staff, awesome location.",,10.0,"Clean rooms, friedly staff, awesome location. "
4,4,Hotel Anna-Kristina,The location near the river. Also a nice swimming pool..,The drain in the bathroom smelt. Breakfast was not that good.,8.0,The location near the river. Also a nice swimming pool.. The drain in the bathroom smelt. Breakfast was not that good.
5,5,Hotel Anna-Kristina,"Comfortable Beds, nice stay.",The Pool was dirty.,9.0,"Comfortable Beds, nice stay. The Pool was dirty."
6,6,Hotel Anna-Kristina,"The location is superb: lots of restaurants and all the sights within easy walking distance. The hotel itself is charming and quirky - it's a renovated mineral spa from the early 20th century. However, you do pay a premium for these features compared to other hotels in Vidin. On the other hand, a similar place in the UK would probably cost three times as much..","We had to get the staff to show us how to use the shower - the mechanism for transferring water from the bath tap to the shower head was particularly fiendish. There was a safe in the room; but you could have just picked it up and walked out with it, as it wasn't attached to anything immovable. The VIP apartment we stayed in had no view and it was difficult to see out of the windows unless you are 7 feet (2.13 m) tall..",8.0,"The location is superb: lots of restaurants and all the sights within easy walking distance. The hotel itself is charming and quirky - it's a renovated mineral spa from the early 20th century. However, you do pay a premium for these features compared to other hotels in Vidin. On the other hand, a similar place in the UK would probably cost three times as much.. We had to get the staff to show us how to use the shower - the mechanism for transferring water from the bath tap to the shower head was particularly fiendish. There was a safe in the room; but you could have just picked it up and walked out with it, as it wasn't attached to anything immovable. The VIP apartment we stayed in had no view and it was difficult to see out of the windows unless you are 7 feet (2.13 m) tall.."
7,7,Hotel Anna-Kristina,"Nice breakfast, not so many choices but using Bulgarian tasty vegetables, clean restaurant indoor and outdoor tables, hotel located practically in the city park, Danube visible from restaurant, from some hotel rooms also, Vidin fortress at max. 5 min. walking distance through the same park, several other nice restaurants available at the Danube shore or in the city, very close also, ethnography exhibition free-of-charge over the street opposite from the fortress, city park full of Bulgarian people walking in the evening ....","We wasn't able to dinner in the hotel restaurant, maybe was not appropriate time, maybe was not fully open due to Covid19 restrictions, anyhow we use another restaurants nearby.",9.0,"Nice breakfast, not so many choices but using Bulgarian tasty vegetables, clean restaurant indoor and outdoor tables, hotel located practically in the city park, Danube visible from restaurant, from some hotel rooms also, Vidin fortress at max. 5 min. walking distance through the same park, several other nice restaurants available at the Danube shore or in the city, very close also, ethnography exhibition free-of-charge over the street opposite from the fortress, city park full of Bulgarian people walking in the evening .... We wasn't able to dinner in the hotel restaurant, maybe was not appropriate time, maybe was not fully open due to Covid19 restrictions, anyhow we use another restaurants nearby."
8,8,Hotel Anna-Kristina,"Good sized room, with brilliant air con powerful shower modern easy to use TV good restaurant and food, nice if small pool Area.",It's tucked away and a bit difficult to locate small parking area.,9.0,"Good sized room, with brilliant air con powerful shower modern easy to use TV good restaurant and food, nice if small pool Area. It's tucked away and a bit difficult to locate small parking area."
9,9,Hotel Anna-Kristina,"Location, staff, building ....",The breakfast was good but not perfect..,9.0,"Location, staff, building .... The breakfast was good but not perfect.."
10,10,Hotel Anna-Kristina,,".Disliked  · The shower in the bathroom to be enclosed. Water spilled on the floor and the door started to rotten on the inside, on the bottom.",9.0," .Disliked  · The shower in the bathroom to be enclosed. Water spilled on the floor and the door started to rotten on the inside, on the bottom."
